Name	  Mass(kg)	Diam(m)		Perihelion(m)	Aphelion(m)	orbPeriod(days)	rotPeriod(hours)    axialtilt(deg) orbinclin(deg)
Sun	  1.9891e30	1.3927e9	0		0		0		587.28              0              0
Mercury	  0.330e24	4.8794e6	4.6e10		6.98e10		88		1407.6		    0.01           7.0
Venus	  4.87e24	12.104e6	1.075e11	1.089e11	224.7		-5832.5  	    177.4	   3.4
Earth	  5.97e24	12.743e6	1.471e11	1.521e11	365.2425	23.9                23.4	   0.0
Mars	  0.642e24	6.779e6		2.066e11	2.492e11	687.0		24.6                25.2	   1.9
Jupiter	  1898e24	139.82e6	7.405e11	8.166e11	4331		9.9		    3.1	           1.3
Saturn    568e24	116.46e6	1.3526e12	1.5145e12	10747		10.7		    26.7           2.5
Uranus	  86.81e24	50.724e6	2.741302e12	3.003625e12	30685.4		-17.24		    82.23	   0.772
Neptune	  1.02413e27	49.244e6	4.444449e12	4.545671e12	60189		16.11		    28.32	   1.769
Pluto	  0.01303e24	2.376e6		4.434987e12	7.304326e12	90560		-153.2928	    57.47	   17.16
Ceres     9.3835e20	0.9394e6	.382774000e12	.445749000e12	1683.145	9.074170	    4		   0
Arrokoth  1e12		18.3e3		6.293e12	6.8316e12	108721.7        15.9380		    99.3	   2.4512	
